fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.1787156763370861;0.5068993301499316;0.5255359006734006;0.16375787122292124;0.09863636363636363;0.11631696781297907;0.11300000000000002
10%;0.19549589339922616;0.5347745224622369;0.5536210016835017;0.13615193396155645;0.11257575757575758;0.1257102214824503;0.12800000000000003
15%;0.19908989093750964;0.5400446064798798;0.568110058922559;0.14351358824632768;0.12469696969696968;0.13864461245681703;0.14200000000000002
20%;0.19835818834098642;0.5380342928929399;0.5631789141414141;0.14449978864829013;0.12696969696969695;0.1389261342751613;0.14500000000000002
25%;0.19459311646500396;0.531335636206638;0.5524960858585859;0.13792289389671247;0.12469696969696971;0.1320609754188293;0.14200000000000002
40%;0.19324437250636342;0.5293774443757656;0.5502107323232324;0.13162342440655966;0.11545454545454545;0.11983555854950337;0.13200000000000003
60%;0.19127149899391704;0.5253342809908722;0.5445410353535354;0.13133189722858257;0.11462121212121212;0.11938552996295655;0.131
80%;0.18644178603752948;0.5164177538796817;0.5384705387205387;0.13110712091226598;0.1240909090909091;0.1257556392413907;0.14200000000000002
100%;0.1841585814436479;0.5124587218687883;0.535492760942761;0.13441520117114483;0.1168181818181818;0.1290566542972068;0.134
